,Nom,Age,Nationalité,General,Potentiel,Club,Valeur,Salaire
11871,Sorin Mogoșanu,29,Romania,60,62,FC U Craiova 1948,€200K,€2K
11872,Francis Cann,24,Ghana,65,68,FC Vizela,€975K,€2K
11873,Matheus de Mello Costa,27,Brazil,71,73,Clube Sport Marítimo,€2M,€7K
11874,Francisco Ribeiro Tomé,26,Portugal,72,73,FC Vizela,€2.8M,€6K
11875,Hugues Evrard Zagbayou,31,Côte d'Ivoire,67,67,FC Vizela,€725K,€2K
11876,Marcelo Machado Vilela,22,Brazil,63,70,FC Vizela,€925K,€1K
11880,Drew Skundrich,26,United States,58,59,D.C. United,€240K,€1K
11881,Arouna Sangante,20,Senegal,64,75,Le Havre AC,€1.2M,€1K
11882,Josh Wells,18,England,49,66,Middlesbrough,€110K,€1K
11883,Tomás Galván,22,Argentina,66,76,Defensa y Justicia,€1.9M,€4K
11884,Mario Andric,23,Austria,60,65,WSG Tirol,€350K,€2K
11885,Jakub Myszor,20,Poland,63,75,Cracovia,€1.2M,€2K
11886,Jakub Orpik,17,Poland,53,73,Jagiellonia Białystok,€240K,€500
11887,Bartosz Zynek,19,Poland,56,66,Wisła Płock,€300K,€650
11888,Milan Posmyk,19,Poland,53,68,Zagłębie Lubin,€210K,€700
11889,Krystian Bracik,20,Poland,54,66,Cracovia,€240K,€1K
11890,Michael Wyparło,18,Poland,53,68,PGE FKS Stal Mielec,€210K,€500
11891,Pieter Bos,24,Netherlands,61,65,SC Cambuur,€375K,€950
11892,Nick Doodeman,24,Netherlands,65,68,SC Cambuur,€975K,€2K
11893,Sergio Guerrero Romero,23,Spain,63,72,Atlético de Madrid,€1.1M,€8K
11894,Nicolae Păun,23,Romania,67,75,Sepsi OSK Sf. Gheorghe,€2.1M,€4K
11895,Jasin Assehnoun,23,Finland,65,70,FC Emmen,€1.1M,€2K
11896,Matthieu Epolo,17,Belgium,57,77,Standard de Liège,€400K,€500
11897,Brett Minnema,20,Netherlands,56,67,SC Cambuur,€275K,€800
11898,Ragnar Oratmangoen,24,Netherlands,68,72,FC Groningen,€1.7M,€4K
11899,Guilherme Araújo Soares,21,Portugal,62,72,SC Braga,€825K,€2K
11900,Taiga Son,22,Korea Republic,60,70,Sagan Tosu,€525K,€700
11901,Stefan Deuling,20,Netherlands,55,65,SC Cambuur,€275K,€1K
11902,Jhondly van der Meer,20,Haiti,62,73,SC Cambuur,€825K,€1K
11903,Agustín Rodríguez,18,Argentina,61,78,Club Atlético Lanús,€825K,€1K
11904,Vicente Poggi,18,Uruguay,61,71,Club Necaxa,€650K,€650
11905,Martín Rodríguez,32,Uruguay,66,66,Club Nacional de Football,€425K,€500
11906,Farhan Al Azmi,26,Saudi Arabia,61,62,Al Hazem,€350K,€3K
11907,Abdulrahman Al Harthi,22,Saudi Arabia,57,64,Al Hazem,€325K,€3K
11908,Ben Old,19,New Zealand,60,74,Wellington Phoenix,€575K,€500
11909,Alfie Lloyd,18,England,51,70,Queens Park Rangers,€150K,€1K
11910,Rushine De Reuck,26,South Africa,70,75,Mamelodi Sundowns FC,€2.1M,€700
11911,Filip Balaj,24,Slovakia,62,66,Cracovia,€575K,€2K
11912,Taner Dogan,22,United States,48,52,Dundalk FC,€70K,€550
11913,Igor Vekič,24,Slovenia,65,71,FC Paços de Ferreira,€925K,€2K
11914,Kyle Cimenti,21,Australia,55,63,Macarthur FC,€275K,€500
11915,Rubén González Alves,27,Spain,66,68,Racing Santander,€900K,€3K
11916,Ilyas Chaira,19,Morocco,62,72,Girona FC,€850K,€1K
11917,Antonio David Álvarez Rey,27,Spain,69,69,Wisła Płock,€1.5M,€4K
11918,Ángel Rodado Jareño,25,Spain,65,70,UD Ibiza,€1.1M,€2K
11919,Ekain Zenitagoia Arana,28,Spain,65,65,UD Ibiza,€725K,€3K
11920,Jorge Chanza Zapata,24,Spain,62,70,UD Ibiza,€775K,€950
11921,Mateo Enríquez Luna,20,Spain,60,70,Girona FC,€550K,€3K
11922,Iker Piedra Blanco,20,Spain,62,74,Girona FC,€850K,€2K
11923,Marcos Gómez,20,Paraguay,61,78,Club Olimpia,€850K,€500
11924,Aidan Dowling,18,England,55,72,Blackburn Rovers,€275K,€500
11925,Nahuel Noll,19,Germany,57,72,TSG Hoffenheim,€350K,€2K
11926,Matt Young,19,England,54,68,Leyton Orient,€250K,€1K
11927,Rhys Byrne,19,England,55,66,Leyton Orient,€240K,€750
11928,Antony Papadopoulos,18,England,52,63,Leyton Orient,€170K,€850
11929,Jeremy Batioja,18,Ecuador,58,76,Sociedad Deportiva Aucas,€500K,€500
11930,Davor Montiel,23,Ecuador,61,68,CS Emelec,€600K,€500
11931,Hassan Ramazani,19,Australia,51,66,Brisbane Roar,€130K,€500
11932,Franklin De Santana Chagas,23,Brazil,56,56,Club Always Ready,€170K,€500
11933,Dirk Proper,20,Netherlands,67,75,N.E.C. Nijmegen,€2.1M,€3K
11934,Joep van der Sluijs,19,Netherlands,63,71,N.E.C. Nijmegen,€1M,€2K
11935,Thomas Beekman,21,Netherlands,63,72,N.E.C. Nijmegen,€1.1M,€2K
11936,Gonzalo Luján,21,Argentina,63,72,San Lorenzo de Almagro,€1M,€2K
11937,Marco Tol,24,Netherlands,64,70,SC Cambuur,€850K,€2K
11938,Alexandre Jourda,19,France,57,66,SC Bastia,€325K,€500
11940,Shayne Pattynama,23,Netherlands,63,70,Viking FK,€925K,€900
11941,Kayden Pierre,19,United States,53,70,Sporting Kansas City,€230K,€600
11942,Radinio Balker,23,Netherlands,66,72,FC Groningen,€1.2M,€2K
11943,Ryo Tanada,18,Japan,57,72,Sanfrecce Hiroshima,€375K,€800
11944,Daniel MacKay,20,Scotland,63,71,Hibernian,€1.1M,€1K
11945,Leon Schmökel,20,Germany,57,66,1. FC Magdeburg,€325K,€1K
11946,Sam Bird,19,England,50,61,Fleetwood Town,€90K,€750
11947,Alexios Kalogeropoulos,16,Greece,62,78,Olympiacos CFP,€925K,€500
11948,Jimmy Kaparos,19,Netherlands,60,72,FC Schalke 04,€550K,€1K
11949,Sam Cornish,19,England,55,68,Colchester United,€275K,€1K
11950,Lekan Oki,18,Republic of Ireland,49,57,Waterford FC,€90K,€500
11951,Cian Browne,19,Republic of Ireland,50,59,Waterford FC,€100K,€500
11952,Graham O'Reilly,18,Republic of Ireland,49,57,Waterford FC,€100K,€500
11953,Jamie Lee,19,Republic of Ireland,49,57,Waterford FC,€100K,€500
11954,Liam Kervick,18,Republic of Ireland,50,58,Waterford FC,€100K,€500
11955,Jamie Brazil,18,Republic of Ireland,48,56,Waterford FC,€100K,€500
11956,Paul Omotosho,19,Republic of Ireland,49,57,Waterford FC,€100K,€500
11957,Alan Dunwoody,18,Republic of Ireland,48,58,Waterford FC,€100K,€500
11958,Michael Quinlan,18,Republic of Ireland,48,59,Waterford FC,€100K,€500
11959,Jamie Maher,19,Republic of Ireland,48,56,Waterford FC,€100K,€500
11960,Brooklyn Ilunga,18,England,54,72,Milton Keynes Dons,€250K,€500
11961,Nemanja Motika,18,Serbia,58,76,FC Bayern München,€525K,€3K
11962,David Møller Wolfe,19,Norway,58,71,SK Brann,€475K,€500
11963,Louis Britton,20,England,58,70,Bristol City,€500K,€5K
11964,Emirhan Kaşcıoğlu,19,Turkey,56,66,Denizlispor,€300K,€2K
11965,Carlos Dominguez Cáceres,21,Spain,70,78,RC Celta de Vigo,€3.3M,€8K
11966,Nicolás Romero,18,Argentina,60,76,Atlético Tucumán,€600K,€550
11967,Mariano Pieres,21,Argentina,60,70,Defensa y Justicia,€525K,€2K
11968,Abdoullah Ba,18,France,63,76,Sunderland,€1.1M,€1K
11969,Renzo Giampaoli,22,Argentina,66,73,Rosenborg BK,€1.6M,€4K
11970,Mahamadou Doucouré,22,Mali,64,74,Nîmes Olympique,€1.3M,€2K
11971,Leo Vielgut,20,Austria,57,68,RZ Pellets Wolfsberger AC,€350K,€2K
11972,Hermann Tebily,20,France,58,74,FC Sochaux-Montbéliard,€550K,€1K
11973,Maxime Mignon,30,Belgium,59,59,Seraing,€150K,€2K
11974,Yahya Nadrani,25,France,67,71,Aalborg BK,€1.3M,€5K
11975,Wagane Faye,27,Senegal,64,65,Seraing,€600K,€4K
11976,Rayan Djedje,19,France,56,67,Seraing,€300K,€1K
11977,Abdel Al Badaoui,25,Morocco,64,68,AD Alcorcón,€825K,€2K
11978,Ali Sanogo,22,Côte d'Ivoire,61,67,Seraing,€525K,€2K
11979,Freddie Draper,17,England,55,72,Lincoln City,€325K,€500
11980,Runar Norheim,17,Norway,56,78,Tromsø IL,€450K,€500
11981,Jesper Bergset Robertsen,18,Norway,55,70,Tromsø IL,€275K,€500
11982,Mohammed Abbas,19,United Arab Emirates,62,76,Al Ain FC,€950K,€500
11983,Cyrus Dehmie,20,Côte d'Ivoire,55,66,Brisbane Roar,€275K,€800
11984,Grace Bokake,19,Germany,56,68,Hannover 96,€350K,€3K
11985,Victor Backman,21,Sweden,58,68,Kalmar FF,€450K,€650
11986,Archie Meekison,20,Scotland,59,76,Dundee United,€600K,€1K
11987,Sivert Øverby,22,Norway,54,62,Mjøndalen IF,€230K,€600
11988,Ted Collins,19,England,54,65,Colchester United,€200K,€750
11989,Gene Kennedy,19,England,57,70,Colchester United,€375K,€1K
11990,Donell Thomas,17,England,55,65,Colchester United,€250K,€500
11992,James Clark,19,England,52,68,Wycombe Wanderers,€200K,€800
11993,Gabriel Haider,19,Austria,58,73,TSG Hoffenheim,€450K,€2K
11994,Adewale Oladoye,19,Nigeria,60,71,KAA Gent,€500K,€2K
11995,Chinonso Emeka,19,Nigeria,60,71,KAA Gent,€525K,€2K
11996,Noah Persson,18,Sweden,60,76,Mjällby AIF,€600K,€500
11998,Tika de Jonge,18,Netherlands,57,72,FC Groningen,€375K,€650
11999,Jannis Kleeberg,19,Germany,56,68,Eintracht Braunschweig,€325K,€650
12000,Seán Grehan,17,Republic of Ireland,51,66,Bohemian FC,€120K,€500
12001,Emiliano Ancheta,22,Uruguay,57,67,Cerro Largo Fútbol Club,€350K,€500
12002,Luis Miguel Rodríguez,22,Uruguay,55,63,Cerro Largo Fútbol Club,€275K,€500
12003,William Kokolo,22,France,61,70,Burton Albion,€700K,€1K
12004,Alejandro Suárez Cardero,18,Spain,63,76,Real Oviedo,€1.1M,€800
12005,Cal Jennings,25,United States,56,61,Los Angeles FC,€210K,€1K
12006,János Hahn,26,Hungary,67,68,,€0,€0
12007,Kamron Habibullah,17,Canada,56,76,Vancouver Whitecaps FC,€375K,€500
12008,Matteo Campagna,18,Canada,49,72,Vancouver Whitecaps FC,€140K,€500
12009,Sam Dreyer,17,England,52,59,Stevenage,€140K,€500
12010,Timmy Smith,17,England,50,63,Stevenage,€90K,€500
12011,Elson Sithole,20,South Africa,51,61,Orlando Pirates,€110K,€500
12012,Danny Norris,19,Republic of Ireland,52,63,UCD AFC,€170K,€500
12013,Callum Stringer,19,Republic of Ireland,50,60,Waterford FC,€100K,€500
12014,Sam Morrissey,18,Republic of Ireland,50,58,Waterford FC,€90K,€500
12015,Kyle Cooke,18,Republic of Ireland,51,61,Waterford FC,€110K,€500
12016,Ivan Homoki,18,Republic of Ireland,50,58,Waterford FC,€100K,€500
12017,Oliver Stanisic,28,Sweden,65,65,Varbergs BoIS FC,€625K,€1K
12018,Nayel Mehssatou,19,Chile,64,75,KV Kortrijk,€1.2M,€2K
12019,Tarik Muharemovic,17,Slovenia,58,75,RZ Pellets Wolfsberger AC,€475K,€500
12020,Frankie Terry,17,England,54,74,Colchester United,€275K,€500
12021,Sami Guediri,24,United States,59,64,D.C. United,€325K,€1K
12022,Alvaro Quezada,22,United States,54,62,Los Angeles FC,€240K,€1K
12023,Jonas Kühn,20,Germany,57,68,SG Dynamo Dresden,€350K,€1K
12024,Robbie Mahon,19,Republic of Ireland,50,62,Motherwell,€110K,€650
12025,Bruno Liuzzi,20,Argentina,60,67,Club Atlético Sarmiento,€475K,€1K
12026,Santiago Paiva,23,Uruguay,64,69,Godoy Cruz,€900K,€3K
12027,Nishan Velupillay,21,Australia,58,65,Melbourne Victory,€425K,€1K
12028,Caoimhin Porter,20,Republic of Ireland,50,62,Derry City,€110K,€500
12029,Peter Maguire,19,Republic of Ireland,49,59,Sligo Rovers,€90K,€500
12030,Sanjeev Stalin,21,India,54,62,Mumbai City FC,€230K,€500
12031,Hormipam Ruivah,21,India,57,67,Kerala Blasters FC,€350K,€500
12032,Harry McHugh,19,England,52,67,Wigan Athletic,€190K,€1K
12033,Alan Acevedo,19,Uruguay,59,70,Club Atlético Rentistas,€475K,€500
12034,Joaquín Silva,24,Uruguay,64,70,Cerro Largo Fútbol Club,€750K,€500
12035,Abelmy Meto Silu,18,Brazil,61,78,ESTAC Troyes,€800K,€850
12036,Kato Ichimori,18,Japan,51,65,Vegalta Sendai,€140K,€500
12037,Frank Ventura,21,Ecuador,61,70,LDU Quito,€700K,€500
12038,Jefferson Troya,20,Ecuador,59,70,LDU Quito,€500K,€500
12039,Pablo Barraza,20,Argentina,59,67,Club Atlético Central Córdoba,€500K,€2K
12040,Allan Michaël Delferriere,19,Belgium,57,72,Hibernian,€375K,€700
12041,Yannick Pandor,21,Comoros,59,67,Racing Club de Lens,€450K,€2K
12042,Yann Kembo Diantela,18,France,57,66,Racing Club de Lens,€325K,€1K
12043,Nathan Ngoy,19,Belgium,61,74,Standard de Liège,€725K,€1K
12045,Elmo Henriksson,18,Finland,53,68,HJK Helsinki,€190K,€500
12046,Liam Cross,19,England,53,65,Northampton Town,€220K,€2K
12047,Rafael Marques,20,France,53,63,FC Chambly Oise,€180K,€500
12048,Zac Williams,18,Wales,59,72,Crewe Alexandra,€500K,€600
12049,Yuki Hayasaka,22,Japan,58,65,Kawasaki Frontale,€350K,€1K
12050,Lamine Cissé,18,France,62,74,AS Nancy Lorraine,€925K,€550
12051,Agustín Martegani,22,Argentina,69,78,San Lorenzo de Almagro,€3.1M,€6K
12052,Kevin Lencina,20,Argentina,60,70,Defensa y Justicia,€550K,€2K
12053,Tadeo Rodríguez,20,Argentina,59,68,Arsenal de Sarandí,€475K,€1K
12054,Edgar Patrício Franco Pacheco,20,Portugal,60,68,Belenenses SAD,€550K,€1K
12055,Derek Dodson,21,United States,57,68,Orlando City Soccer Club,€375K,€1K
12056,Ebrima Darboe,21,Gambia,68,79,Roma,€2.6M,€14K
12057,Aziel Jackson,19,United States,50,67,Minnesota United FC,€120K,€650
12058,Augustine Williams,22,Sierra Leone,58,65,LA Galaxy,€425K,€1K
12059,Amari Miller,18,England,60,77,Leeds United,€625K,€4K
12060,Zijian Zhang,24,China PR,54,58,Changchun Yatai FC,€140K,€1K
12061,Xuesong Bai,19,China PR,51,59,Changchun Yatai FC,€130K,€1K
12062,Dilyimit Tudi,23,China PR,59,63,Changchun Yatai FC,€325K,€2K
12063,Memet-Raim Memet-Ali,21,China PR,50,55,Changchun Yatai FC,€70K,€1K
12064,Qi Cui,24,China PR,57,60,Changchun Yatai FC,€200K,€1K
12065,Ziwenhao Song,19,China PR,47,60,Changchun Yatai FC,€110K,€900
12066,Qinhan Sun,21,China PR,51,59,Shanghai Shenhua FC,€130K,€2K
12067,Wenjun Yi,23,China PR,50,56,Changchun Yatai FC,€70K,€1K
12068,Bowei Song,19,China PR,48,57,Shandong Taishan,€100K,€1K
12069,Jinyong Yu,16,China PR,50,63,Shandong Taishan,€90K,€500
12070,Longhai He,19,China PR,54,64,Shanghai Shenhua FC,€230K,€1K
12071,Yue Zhu,20,China PR,53,65,Shanghai Shenhua FC,€220K,€2K
12072,Minzhe Wei,22,China PR,54,60,Shenzhen FC,€140K,€1K
12073,Guoliang Chen,22,China PR,49,54,Shenzhen FC,€70K,€1K
12074,Dejiang Yang,17,China PR,47,57,Guangzhou FC,€90K,€500
12075,Xingxian Li,16,China PR,47,63,Guangzhou FC,€120K,€500
12076,Yu Hou,21,China PR,51,61,Guangzhou FC,€120K,€1K
12077,Zhihao Zhang,20,China PR,50,58,Guangzhou FC,€100K,€2K
12078,Junhan Luo,17,China PR,50,66,Guangzhou FC,€110K,€500
12079,Zhengfeng Chen,20,China PR,48,52,Guangzhou FC,€70K,€2K
12080,Junhao Wu,16,China PR,48,64,Guangzhou FC,€120K,€500
12081,Jiayu Guo,17,China PR,51,66,Wuhan Three Towns,€120K,€500
12082,Gender Villarreal,19,Ecuador,59,67,LDU Quito,€425K,€500
12083,Likai Yang,20,China PR,48,53,Qingdao FC,€70K,€1K
12084,Runtong Song,19,China PR,48,57,Qingdao FC,€100K,€1K
12085,Jiali Hu,22,China PR,59,63,Wuhan FC,€300K,€2K
12086,Halik Abraham,21,China PR,52,65,Shanghai Port FC,€200K,€2K
12087,Zhurun Liu,20,China PR,55,63,Shanghai Port FC,€275K,€2K
12088,Alex Parsons,22,Australia,59,69,Sydney FC,€500K,€2K
12089,Xiang Li,30,China PR,54,54,Tianjin Jinmen Tiger FC,€110K,€3K
12090,Xuyang Fan,22,China PR,50,56,Tianjin Jinmen Tiger FC,€70K,€2K
12091,Lichun Yang,20,China PR,51,55,Tianjin Jinmen Tiger FC,€80K,€2K
12092,Zihao Yang,21,China PR,54,63,Tianjin Jinmen Tiger FC,€230K,€1K
12093,Zixuan Sun,20,China PR,51,57,Tianjin Jinmen Tiger FC,€80K,€2K
12094,Hao Fang,21,China PR,51,59,Shandong Taishan,€130K,€2K
12095,Keweser Xamixidin,22,China PR,49,54,Wuhan FC,€70K,€2K
12096,Xiang Gao,21,China PR,48,54,Wuhan FC,€60K,€800
12097,Xingqi Li,20,China PR,50,56,Wuhan FC,€70K,€1K
12098,Zhenhong Liu,21,China PR,48,54,Wuhan FC,€70K,€1K
12099,Jiawei Guo,20,China PR,49,56,Wuhan FC,€80K,€800
12100,Defu Song,22,China PR,48,53,Wuhan FC,€70K,€1K
12101,Yunhua Chen,22,China PR,48,56,Hebei FC,€100K,€1K
12102,Jiajun Pang,22,China PR,50,56,Hebei FC,€60K,€950
12103,Lennart Schulze-Kökelsum,20,Germany,54,67,Eintracht Braunschweig,€230K,€1K
12104,Benjamín Villalta,20,Peru,61,68,Club Sporting Cristal,€600K,€500
12105,Diego Soto,19,Peru,60,69,Club Sporting Cristal,€525K,€500
12106,Manuel Sanhouse,21,Venezuela,59,65,Deportivo Táchira FC,€300K,€500
12107,Vuk Latinovich,24,Serbia,55,62,New York City FC,€240K,€1K
12108,Xingbo Zhang,27,China PR,53,53,Chongqing Liangjiang Athletic,€90K,€1K
12109,Xianyong Lu,21,China PR,48,55,Chongqing Liangjiang Athletic,€90K,€1K
12110,Siwei He,20,China PR,48,58,Chongqing Liangjiang Athletic,€100K,€950
12111,Haotian Deng,18,China PR,49,61,Chongqing Liangjiang Athletic,€100K,€500
12112,Weixiang Fan,24,China PR,50,55,Chongqing Liangjiang Athletic,€60K,€900
12113,Long Pan,21,China PR,50,56,Chongqing Liangjiang Athletic,€60K,€700
12114,Xiang Zhang,20,China PR,51,63,Chongqing Liangjiang Athletic,€130K,€1K
12115,Kudirat Ablet,25,China PR,50,53,Dalian Professional Football Club,€50K,€1K
12116,Jinshuai Wang,21,China PR,52,59,Dalian Professional Football Club,€140K,€800
12117,Haoyu Yang,20,China PR,49,56,Dalian Professional Football Club,€90K,€1K
12118,Yinquan Kong,21,China PR,49,56,Dalian Professional Football Club,€90K,€2K
12120,Mario García,21,Uruguay,60,70,Club Atlético Rentistas,€550K,€500
12122,Arturo Palma,19,Mexico,57,69,Club Necaxa,€400K,€1K
12123,Julian Eseiza,20,Argentina,60,71,Club Atlético Banfield,€525K,€2K
12124,Taïryk Arconte,18,France,64,78,Stade Brestois 29,€1.4M,€2K
12125,José Manuel Bica Reis,17,Portugal,59,79,LOSC Lille,€600K,€1K
12126,Matthias Gragger,20,Austria,58,69,SV Ried,€425K,€1K
12127,Enric Llansana Beuse,21,Netherlands,65,74,Go Ahead Eagles,€1.5M,€2K
12128,César Fernando Simões Sousa,21,Angola,60,70,Belenenses SAD,€550K,€950
12129,Marco Giagnorio,19,France,54,65,AS Nancy Lorraine,€200K,€500
12130,Bartłomiej Kręcichwost,20,Poland,55,63,Podbeskidzie Bielsko-Biała,€275K,€750
12131,Samuel Stückler,21,Austria,61,70,SK Sturm Graz,€725K,€3K
12132,Erick Ávalos,21,Mexico,58,68,Tigres U.A.N.L.,€425K,€5K
12133,Abdulkadir Sünger,20,Turkey,57,65,Denizlispor,€300K,€2K
12134,Mamady Bangré,21,Burkina Faso,60,75,US Quevilly Rouen Métropole,€600K,€2K
12135,Joel Bradley-Walsh,20,Republic of Ireland,48,61,Finn Harps,€110K,€500
12136,Ronan Gallagher,20,Republic of Ireland,47,61,Finn Harps,€110K,€500
12137,David Rodríguez,19,Mexico,57,71,Club Atlético de San Luis,€400K,€1K
12138,Walter Castillo,22,Mexico,58,64,Club Atlético de San Luis,€325K,€3K
12139,Martín González,27,Uruguay,60,61,Club Atlético Rentistas,€250K,€500
12140,Carlos Medina,19,Ecuador,62,72,Estudiantes de Mérida,€800K,€500
12141,Franklin Clavijo,19,Ecuador,59,71,Sociedad Deportiva Aucas,€525K,€500
12142,Jimmy Pérez,20,Peru,60,70,Sport Huancayo,€550K,€500
12143,Gustavo Iturra,22,Argentina,60,69,Unión La Calera,€550K,€600
12144,Ole Hoch,19,Germany,57,67,1. FC Magdeburg,€325K,€500
12145,Jack Moylan,20,Republic of Ireland,60,67,Shelbourne FC,€500K,€500
12146,Carlos González,21,Venezuela,58,64,Deportivo La Guaira FC,€275K,€500
12147,Gabriel Chocobar,21,Argentina,60,68,Montevideo City Torque,€525K,€500
12148,Franco Maya,22,Uruguay,55,65,Montevideo City Torque,€275K,€500
12149,Boubakar Camara,19,France,58,67,Racing Club de Lens,€450K,€4K
12150,Aaron Robinson,24,Republic of Ireland,52,55,Longford Town,€100K,€500
12151,Nawaf Al Saadi,21,Saudi Arabia,52,62,Abha Club,€180K,€2K
12152,Hiiragi Kumagai,16,Japan,52,70,Vegalta Sendai,€200K,€500
12153,Josh Bauer,22,United States,59,65,Atlanta United,€325K,€1K
12154,Conan Noonan,19,Republic of Ireland,50,64,Shamrock Rovers,€110K,€500
12155,Paulo Afonso da Rocha Júnior,23,Brazil,64,68,Club Atlético Rentistas,€850K,€500
12156,Rayan Al Bloushi,21,Saudi Arabia,53,65,Ettifaq FC,€230K,€4K
12157,Kuku Fidelis,22,Nigeria,60,67,FC Vizela,€500K,€1K
12158,Diego Calcaterra,20,Argentina,64,74,San Lorenzo de Almagro,€1.2M,€2K
12159,Yang Bai,24,China PR,52,55,Beijing Guoan FC,€100K,€2K
12160,Wenhao Jiang,21,China PR,48,58,Beijing Guoan FC,€100K,€2K
12161,Boxi Li,21,China PR,49,56,Beijing Guoan FC,€100K,€2K
12162,Qilong Ruan,21,China PR,51,61,Beijing Guoan FC,€120K,€2K
12163,Longfei Xie,21,China PR,49,56,Beijing Guoan FC,€90K,€2K
12164,Jian Gao,19,China PR,49,59,Beijing Guoan FC,€100K,€2K
12165,Jiayu Chen,26,China PR,52,52,Hebei FC,€80K,€2K
12166,Hanru Guo,22,China PR,52,59,Hebei FC,€140K,€1K
12167,Xuchen Yao,22,China PR,55,61,Hebei FC,€200K,€1K
12168,Evan Khouri,19,England,53,67,Grimsby Town,€220K,€950
12169,Zhixuan Du,20,China PR,48,60,Henan Songshan Longmen FC,€110K,€1K
12170,Keqiang Chen,22,China PR,48,54,Henan Songshan Longmen FC,€70K,€1K
12171,Jiahui Liu,21,China PR,52,60,Henan Songshan Longmen FC,€170K,€1K
12172,Shilong Xu,21,China PR,52,62,Henan Songshan Longmen FC,€160K,€900
12173,Sabit Abdusalam,28,China PR,49,49,Shijiazhuang Ever Bright F.C.,€45K,€1K
12174,Ziyi Niu,22,China PR,55,62,Henan Songshan Longmen FC,€240K,€1K
12175,Shengjia Hu,22,China PR,48,53,Shijiazhuang Ever Bright F.C.,€70K,€1K
12176,Xiangshuo Zhang,21,China PR,51,57,Shijiazhuang Ever Bright F.C.,€90K,€950
12177,Gerald Sithole,18,England,56,67,Gillingham,€300K,€750
12178,Luke Mariette,18,Wales,53,73,Blackpool,€250K,€750
12179,Ángel Robles,19,Mexico,57,71,Puebla FC,€400K,€1K
12180,Xander Severina,19,Netherlands,57,70,ADO Den Haag,€400K,€1K
12182,Ye Hoon Ueom,18,Korea Republic,58,70,Sagan Tosu,€400K,€500
12183,Gregorio Gracia Sánchez,20,Spain,64,76,RCD Espanyol de Barcelona,€1.4M,€3K
12184,Mathías Martínez,27,Paraguay,61,61,Club Nacional,€350K,€500
12185,Franco Martínez,22,Uruguay,55,63,Club Atlético Peñarol,€275K,€500
12186,Gustavo Machado,20,Argentina,62,72,Cerro Largo Fútbol Club,€825K,€500
12187,Sebastian Breza,24,Canada,64,68,Club de Foot Montréal,€675K,€4K
12188,Raul Aguilera,21,United States,55,65,Orlando City Soccer Club,€275K,€850
12189,Hélder José Oliveira Sá,19,Portugal,66,79,Vitória de Guimarães,€1.9M,€2K
12190,Ramiro Di Luciano,17,Argentina,59,75,Club Atlético Banfield,€550K,€500
12191,Kaveh Rad,21,United States,56,68,Sporting Kansas City,€325K,€900
12192,Jack Gurr,25,England,60,63,Aberdeen,€300K,€1K
12193,Mauro Estol,27,Uruguay,62,62,Montevideo Wanderers,€425K,€500
12194,Leandro Onetto,25,Uruguay,66,69,Cerro Largo Fútbol Club,€1.1M,€500
12195,Franco García,23,Uruguay,58,64,Cerro Largo Fútbol Club,€325K,€500
12196,Thiago Nascente,19,Uruguay,56,70,Cerro Largo Fútbol Club,€350K,€500
12197,Avionne Flanagan,22,United States,56,64,FC Cincinnati,€300K,€1K
12198,Ángel González,17,Paraguay,57,75,Club Libertad,€350K,€500
12199,Rodrigo González,20,Paraguay,62,72,Club Libertad,€825K,€500
12200,Rio Hope-Gund,21,United States,58,68,Orlando City Soccer Club,€425K,€900
12201,Zemin Tan,27,China PR,59,61,Jiangsu FC,€210K,€2K
12202,Yi Dong,27,China PR,61,61,Jiangsu FC,€325K,€3K
12203,Yuan Yan,20,China PR,57,65,Jiangsu FC,€325K,€2K
12204,Pengfei Jiang,30,China PR,63,63,Jiangsu FC,€400K,€4K
12205,Peizhi Zou,27,China PR,53,53,Jiangsu FC,€90K,€3K
12206,Weisheng Peng,33,China PR,66,66,Jiangsu FC,€425K,€6K
12207,Gui Luo,25,China PR,60,60,Jiangsu FC,€275K,€3K
12208,Qiqiang Kong,22,China PR,67,70,Jiangsu FC,€1.4M,€6K
12209,Junjie Ding,23,China PR,65,68,Jiangsu FC,€975K,€5K
12210,Jianyu Huang,21,China PR,68,74,Jiangsu FC,€2M,€7K
12211,Meilin Jia,30,China PR,57,57,Jiangsu FC,€160K,€4K
12212,Shanyuan Xiong,34,China PR,57,57,Jiangsu FC,€30K,€2K
12213,Feng Dong,32,China PR,64,64,Jiangsu FC,€375K,€5K
12214,Renshu Gao,24,China PR,65,67,Jiangsu FC,€850K,€4K
12215,Guiren Xiao,22,China PR,56,62,Jiangsu FC,€230K,€3K
12216,Dingxiang Deng,30,China PR,60,60,Jiangsu FC,€240K,€4K
12217,Wen Tang,26,China PR,64,65,Jiangsu FC,€700K,€5K
12218,Shoushan Fu,33,China PR,61,61,Jiangsu FC,€200K,€4K
12219,Jaden Charles,19,Republic of Ireland,52,65,Mansfield Town,€180K,€1K
12220,Petros Kaloutsikidis,20,Greece,62,72,PAOK,€825K,€500
12221,Isaac Tshipamba,20,France,55,65,Waterford FC,€275K,€500
12222,Isaac Karamoko,20,France,63,75,U.S. Sassuolo Calcio,€1.2M,€5K
12223,Maicol Ferreira,22,Uruguay,61,68,Club Atlético Rentistas,€675K,€500
12224,Abdelkader Bedrane,30,Algeria,69,69,Damac FC,€1.1M,€9K
